sass,3.2.18,MIT,A powerful but elegant CSS compiler that makes CSS fun again.,"Sass makes CSS fun again. Sass is an extension of CSS3, adding
      nested rules, variables, mixins, selector inheritance, and more.
      It's translated to well-formatted, standard CSS using the
      command line tool or a web-framework plugin."
sass-rails,4.0.2,MIT,Sass adapter for the Rails asset pipeline.,Sass adapter for the Rails asset pipeline.
sprockets,2.11.0,MIT,Rack-based asset packaging system,"Sprockets is a Rack-based asset packaging system that concatenates and serves JavaScript, CoffeeScript, CSS, LESS, Sass, and SCSS."
sprockets-rails,2.0.1,MIT,Sprockets Rails integration,""
thor,0.19.1,MIT,Thor is a toolkit for building powerful command-line interfaces.,Thor is a toolkit for building powerful command-line interfaces.
thread_safe,0.3.1,Apache-2.0,A collection of data structures and utilities to make thread-safe programming in Ruby easier,Thread-safe collections and utilities for Ruby
tilt,1.4.1,MIT,Generic interface to multiple Ruby template engines,Generic interface to multiple Ruby template engines
treetop,1.4.15,MIT,A Ruby-based text parsing and interpretation DSL,""
trueskill,1.0.0,MIT,A ruby library for the trueskill rating system,""
tzinfo,0.3.39,MIT,Daylight-savings aware timezone library,TZInfo is a Ruby library that uses the standard tz (Olson) database to provide daylight savings aware transformations between times in different time zones.
uglifier,2.5.0,MIT,Ruby wrapper for UglifyJS JavaScript compressor,Uglifier minifies JavaScript files by wrapping UglifyJS to be accessible in Ruby
